timestamp,memory_current
1742325792614,0
1742325793628,40550400
1742325794640,63197184
1742325795654,111165440
1742325796667,144064512
1742325797679,178126848
1742325798692,210157568
1742325799704,496975872
1742325800717,569847808
1742325801727,828694528
1742325802740,889212928
1742325803753,914722816
1742325804765,982224896
1742325805777,1068777472
1742325806790,1084755968
1742325807805,1084465152
1742325808819,1084329984
1742325809833,1084473344
1742325810848,1084481536
1742325811861,1084801024
1742325812874,1084276736
1742325813888,1084805120
1742325814901,1084813312
1742325815914,1084284928
1742325816927,1084514304
1742325817940,1084514304
1742325818954,1084764160
1742325819968,1084760064
1742325820982,1084760064
1742325821996,1084497920
1742325823010,1085018112
1742325824024,1084772352
1742325825037,1084502016
1742325826050,1085026304
1742325827067,1084817408
1742325828085,1084788736
1742325829098,1084542976
1742325830110,1084551168
1742325831125,1084547072
1742325832139,1084809216
1742325833153,1084559360
1742325834167,1084559360
1742325835181,1084563456
1742325836195,1085399040
1742325837208,1084694528
1742325838223,1084952576
1742325839236,1105035264
1742325840249,1358942208
1742325841260,1671118848
1742325842271,1674956800
1742325843283,1675145216
1742325844296,1675177984
1742325845308,1683333120
1742325846322,1683091456
1742325847335,1683079168
1742325848350,1683083264
1742325849363,1683087360
1742325850378,1682845696
1742325851392,1683107840
1742325852405,1683103744
1742325853420,1682849792
1742325854434,1683103744
1742325855448,1683099648
1742325856461,1683116032
1742325857475,1683087360
1742325858490,1683095552
1742325859504,1683296256
1742325860519,1682989056
1742325861533,1682980864
1742325862547,1682976768
1742325863561,1682972672
